participant,blockID,trialID,condition,screenID,leftImage,rightImage,cue,congruency,correctObject,response,acc,rt
34,1,15,control,retrieval,NA,NA,NA,congruent,image199,image199,TRUE,4115.5
34,1,16,control,memory,image26,image130,right,incongruent,NA,NULL,FALSE,NA
34,1,16,control,memory,image26,image215,right,incongruent,NA,left,TRUE,1651.7999999523163
34,1,16,control,memory,image26,image223,right,incongruent,NA,left,TRUE,1705.8999999761581
34,1,16,control,retrieval,NA,NA,NA,incongruent,image130,image130,TRUE,2604.100000023842
34,1,16,control,retrieval,NA,NA,NA,incongruent,image223,image223,TRUE,3420.6999999284744
34,1,16,control,retrieval,NA,NA,NA,incongruent,image215,image215,TRUE,1616.5
34,1,17,control,memory,image93,image26,left,congruent,NA,left,TRUE,1830.6000000238419
34,1,17,control,memory,image26,image233,right,congruent,NA,right,TRUE,1707.6000000238419
34,1,17,control,memory,image241,image26,left,incongruent,NA,right,TRUE,1486.2000000476837
34,1,17,control,retrieval,NA,NA,NA,incongruent,image241,image241,TRUE,2113.5999999046326
34,1,17,control,retrieval,NA,NA,NA,congruent,image93,image233,FALSE,2219.899999976158
34,1,17,control,retrieval,NA,NA,NA,congruent,image233,image93,FALSE,968.1999999284744
34,1,18,control,memory,image26,image49,right,congruent,NA,right,TRUE,1466.7000000476837
34,1,18,control,memory,image187,image26,left,incongruent,NA,right,TRUE,1840.2000000476837
34,1,18,control,memory,image338,image26,left,congruent,NA,NULL,FALSE,NA
34,1,18,control,retrieval,NA,NA,NA,congruent,image49,image187,FALSE,3423.899999976158
34,1,18,control,retrieval,NA,NA,NA,incongruent,image187,image49,FALSE,1143.0999999046326
34,1,18,control,retrieval,NA,NA,NA,congruent,image338,image338,TRUE,1595.7999999523163
34,1,19,control,memory,image26,image66,right,incongruent,NA,left,TRUE,1516.7999999523163
34,1,19,control,memory,image26,image411,right,congruent,NA,NULL,FALSE,NA
34,1,19,control,memory,image388,image26,left,incongruent,NA,right,TRUE,1257.6000000238419
34,1,19,control,retrieval,NA,NA,NA,congruent,image411,image411,TRUE,2476.7000000476837
34,1,19,control,retrieval,NA,NA,NA,incongruent,image388,image388,TRUE,1833.7999999523163
34,1,19,control,retrieval,NA,NA,NA,incongruent,image66,image66,TRUE,4421.200000047684
34,1,20,control,memory,image198,image26,left,congruent,NA,left,TRUE,1555.3999999761581
34,1,20,control,memory,image355,image26,left,incongruent,NA,right,TRUE,1009.7999999523163
34,1,20,control,memory,image92,image26,left,congruent,NA,left,TRUE,1342.6000000238419
34,1,20,control,retrieval,NA,NA,NA,congruent,image92,image92,TRUE,1442.2000000476837
34,1,20,control,retrieval,NA,NA,NA,incongruent,image355,image355,TRUE,714
34,1,20,control,retrieval,NA,NA,NA,congruent,image198,image198,TRUE,2301.5
34,2,1,retro,memory,image236,image237,left,congruent,NA,left,TRUE,1567
34,2,1,retro,memory,image284,image96,right,congruent,NA,right,TRUE,1625
34,2,1,retro,memory,image405,image197,right,incongruent,NA,left,TRUE,1217
34,2,1,retro,retrieval,NA,NA,NA,congruent,image236,image237,FALSE,5135.100000023842
34,2,1,retro,retrieval,NA,NA,NA,congruent,image96,image405,FALSE,5066.899999976158
34,2,1,retro,retrieval,NA,NA,NA,incongruent,image197,image236,FALSE,1125.5
34,2,2,retro,memory,image298,image398,right,incongruent,NA,left,TRUE,1616.1999999284744
34,2,2,retro,memory,image19,image169,right,incongruent,NA,left,TRUE,1785.2999999523163
34,2,2,retro,memory,image225,image290,left,incongruent,NA,right,TRUE,1324
34,2,2,retro,retrieval,NA,NA,NA,incongruent,image225,image225,TRUE,2485.600000023842
34,2,2,retro,retrieval,NA,NA,NA,incongruent,image169,image169,TRUE,2361.6999999284744
34,2,2,retro,retrieval,NA,NA,NA,incongruent,image398,image398,TRUE,997.2000000476837
34,2,3,retro,memory,image81,image3,left,congruent,NA,left,TRUE,1777.1999999284744
34,2,3,retro,memory,image230,image307,left,incongruent,NA,right,TRUE,1909.4000000953674
34,2,3,retro,memory,image185,image142,right,congruent,NA,NULL,FALSE,NA
34,2,3,retro,retrieval,NA,NA,NA,congruent,image81,image81,TRUE,6526.799999952316
34,2,3,retro,retrieval,NA,NA,NA,congruent,image142,image81,FALSE,1283.1000000238419
34,2,3,retro,retrieval,NA,NA,NA,incongruent,image230,image307,FALSE,390.89999997615814
34,2,4,retro,memory,image161,image147,left,incongruent,NA,NULL,FALSE,NA
34,2,4,retro,memory,image380,image308,left,incongruent,NA,right,TRUE,1441.6999999284744
34,2,4,retro,memory,image391,image136,right,congruent,NA,NULL,FALSE,NA
34,2,4,retro,retrieval,NA,NA,NA,congruent,image136,image136,TRUE,994.6999999284744
34,2,4,retro,retrieval,NA,NA,NA,incongruent,image161,image380,FALSE,2584.9000000953674
34,2,4,retro,retrieval,NA,NA,NA,incongruent,image380,image391,FALSE,377.39999997615814
34,2,5,retro,memory,image356,image345,right,incongruent,NA,left,TRUE,1352.3999999761581
34,2,5,retro,memory,image79,image181,right,incongruent,NA,left,TRUE,1603.7999999523163
34,2,5,retro,memory,image25,image113,right,incongruent,NA,left,TRUE,1266.1000000238419
34,2,5,retro,retrieval,NA,NA,NA,incongruent,image113,image113,TRUE,1518.5
34,2,5,retro,retrieval,NA,NA,NA,incongruent,image345,image345,TRUE,2120.5999999046326
34,2,5,retro,retrieval,NA,NA,NA,incongruent,image181,image181,TRUE,1980.8999999761581
34,2,6,retro,memory,image342,image361,left,incongruent,NA,left,FALSE,1492.2999999523163
34,2,6,retro,memory,image402,image393,right,incongruent,NA,NULL,FALSE,NA
34,2,6,retro,memory,image156,image52,left,congruent,NA,NULL,FALSE,NA
34,2,6,retro,retrieval,NA,NA,NA,incongruent,image393,image361,FALSE,3253.3000000715256
34,2,6,retro,retrieval,NA,NA,NA,incongruent,image342,image393,FALSE,3366
34,2,6,retro,retrieval,NA,NA,NA,congruent,image156,image393,FALSE,1106.3999999761581
34,2,7,retro,memory,image358,image341,right,congruent,NA,NULL,FALSE,NA
34,2,7,retro,memory,image317,image318,left,congruent,NA,left,TRUE,1844.5999999046326
34,2,7,retro,memory,image400,image294,right,congruent,NA,NULL,FALSE,NA
34,2,7,retro,retrieval,NA,NA,NA,congruent,image341,image341,TRUE,2381.399999976158
34,2,7,retro,retrieval,NA,NA,NA,congruent,image317,image317,TRUE,665.1000000238419
34,2,7,retro,retrieval,NA,NA,NA,congruent,image294,image294,TRUE,398.6999999284744
34,2,8,retro,memory,image91,image208,left,incongruent,NA,right,TRUE,1164.3000000715256
34,2,8,retro,memory,image293,image153,right,congruent,NA,NULL,FALSE,NA
34,2,8,retro,memory,image276,image55,right,congruent,NA,right,TRUE,1446.3000000715256
34,2,8,retro,retrieval,NA,NA,NA,congruent,image153,image91,FALSE,5747.799999952316
34,2,8,retro,retrieval,NA,NA,NA,congruent,image55,image153,FALSE,1200.8999999761581
34,2,8,retro,retrieval,NA,NA,NA,incongruent,image91,image91,TRUE,1090
34,2,9,retro,memory,image428,image15,left,incongruent,NA,right,TRUE,1773.3999999761581
34,2,9,retro,memory,image176,image272,left,incongruent,NA,right,TRUE,1617.7000000476837
34,2,9,retro,memory,image144,image251,left,incongruent,NA,right,TRUE,1691.5999999046326
34,2,9,retro,retrieval,NA,NA,NA,incongruent,image144,image144,TRUE,1650.2999999523163
34,2,9,retro,retrieval,NA,NA,NA,incongruent,image428,image428,TRUE,2204.7000000476837
34,2,9,retro,retrieval,NA,NA,NA,incongruent,image176,image176,TRUE,2035.6999999284744
34,2,10,retro,memory,image357,image83,left,congruent,NA,NULL,FALSE,NA
34,2,10,retro,memory,image24,image135,left,incongruent,NA,NULL,FALSE,NA
34,2,10,retro,memory,image362,image313,left,incongruent,NA,NULL,FALSE,NA
34,2,10,retro,retrieval,NA,NA,NA,congruent,image357,image24,FALSE,4810.399999976158
34,2,10,retro,retrieval,NA,NA,NA,incongruent,image362,image24,FALSE,566.6000000238419
34,2,10,retro,retrieval,NA,NA,NA,incongruent,image24,image24,TRUE,417.89999997615814
34,2,11,retro,memory,image78,image368,left,incongruent,NA,right,TRUE,1573.5
34,2,11,retro,memory,image168,image148,right,incongruent,NA,NULL,FALSE,NA
34,2,11,retro,memory,image234,image209,left,incongruent,NA,right,TRUE,1697.5999999046326
